device_id;timestamp;occupied;occupancy_minutes;movements_count;temperature;humidity;co2
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-14T11:00:00Z;1;57;3432;22.61;39.66;778
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-14T12:00:00Z;0.5;23;1393;22.78;39.96;778
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-14T13:00:00Z;1;59;2477;22.78;40.92;940
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-14T14:00:00Z;1;58;2873;22.79;41.15;875
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-15T06:00:00Z;1;54;2077;22.95;41.56;873
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-15T07:00:00Z;0;13;506;22.76;39.83;872
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-15T08:00:00Z;1;57;3531;22.71;40.5;945
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-15T09:00:00Z;0.5;38;1998;22.6;40.22;950
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-15T10:00:00Z;0.5;26;1481;22.73;40.68;915
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-15T11:00:00Z;0;11;764;22.55;39.4;729
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-15T12:00:00Z;0;5;364;22.37;38.53;771
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-15T13:00:00Z;0.5;30;1991;22.41;38.64;737
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-15T14:00:00Z;0;10;364;22.44;38.57;740
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-16T06:00:00Z;0.5;21;1512;22.45;38.83;788
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-16T07:00:00Z;1;55;3793;22.68;40.41;974
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-16T08:00:00Z;0;4;528;22.54;39.44;880
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-16T09:00:00Z;0.5;40;1845;22.67;39.95;902
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-16T10:00:00Z;1;53;3111;22.74;39.83;824
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-16T11:00:00Z;0.5;23;1099;22.73;40.3;931
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-16T12:00:00Z;0.5;32;1268;22.76;40.12;887
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-16T13:00:00Z;0.5;25;1906;22.49;39.38;915
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-16T14:00:00Z;1;56;3005;22.77;40.34;871
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-19T06:00:00Z;0;4;727;22.16;37.69;809
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-19T07:00:00Z;0;7;652;22.09;37.66;705
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-19T08:00:00Z;0;1;495;22.22;37.41;630
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-19T09:00:00Z;1;55;3350;22.42;39.13;769
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-19T10:00:00Z;0.5;21;1071;22.47;39.4;812
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-19T11:00:00Z;1;54;3421;22.76;40.65;869
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-19T12:00:00Z;0.5;25;1083;22.76;39.78;949
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-19T13:00:00Z;1;58;3105;22.9;41.21;997
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-19T14:00:00Z;0;13;927;22.72;39.73;900
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-20T06:00:00Z;0;13;385;22.35;38.48;806
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-20T07:00:00Z;0.5;25;1746;22.41;38.84;744
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-20T08:00:00Z;0;12;707;22.35;38.69;778
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-20T09:00:00Z;0;7;630;22.32;38.56;736
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-20T10:00:00Z;0;5;608;22.15;37.85;838
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-20T11:00:00Z;1;59;2259;22.53;39.31;856
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-20T12:00:00Z;1;60;3332;22.88;40.76;868
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-20T13:00:00Z;0;2;432;22.87;40.7;849
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-20T14:00:00Z;1;55;2701;22.71;40.25;946
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-21T06:00:00Z;0.5;27;1965;22.6;39.37;781
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-21T07:00:00Z;0.5;40;1208;22.61;39.93;958
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-21T08:00:00Z;0;6;127;22.49;39.19;729
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-21T09:00:00Z;1;60;2198;22.66;40.2;868
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-21T10:00:00Z;0.5;30;1359;22.65;39.73;815
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-21T11:00:00Z;1;58;2863;22.9;41.15;966
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-21T12:00:00Z;0.5;36;1660;22.78;40.82;822
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-21T13:00:00Z;1;58;2075;22.87;41.52;871
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-21T14:00:00Z;0.5;31;1079;22.69;40.65;832
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-22T06:00:00Z;1;53;3628;22.9;41.7;922
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-22T07:00:00Z;1;55;3689;22.98;41.56;941
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-22T08:00:00Z;0.5;40;1758;22.91;41.27;978
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-22T09:00:00Z;1;56;4000;22.88;41.19;1022
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-22T10:00:00Z;1;59;3148;23;41.35;991
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-22T11:00:00Z;0;5;632;22.75;40.39;825
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-22T12:00:00Z;0;7;986;22.45;38.97;862
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-22T13:00:00Z;1;51;2663;22.4;39.07;837
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-22T14:00:00Z;0;9;320;22.57;39.18;894
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-23T06:00:00Z;1;59;2151;23.01;42.02;1095
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-23T07:00:00Z;0;10;780;22.71;40.08;812
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-23T08:00:00Z;0;9;602;22.48;39.31;889
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-23T09:00:00Z;0;3;281;22.14;37.73;693
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-23T10:00:00Z;0;13;412;22.3;37.81;664
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-23T11:00:00Z;0.5;35;1183;22.3;38.48;841
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-23T12:00:00Z;1;53;2131;22.65;40.13;954
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-23T13:00:00Z;0.5;34;1328;22.86;40.47;834
b9610647-e7ff-47bf-a19c-d8d295108592;2018-11-23T14:00:00Z;0;9;880;22.57;39.75;819
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-12T06:00:00Z;1;57;2237;23.28;43.37;741
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-12T07:00:00Z;1;51;3648;24.52;49.38;728
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-12T08:00:00Z;0.5;40;1522;25.47;53.5;704
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-12T09:00:00Z;0.5;37;1213;24.99;51.44;730
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-12T10:00:00Z;0.5;31;1867;24.42;49.18;830
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-12T11:00:00Z;0.5;25;1810;24.23;47.69;845
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-12T12:00:00Z;1;55;2742;24.66;49.61;791
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-12T13:00:00Z;0.5;26;1040;24.5;48.9;888
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-12T14:00:00Z;1;55;2955;25.16;52.25;828
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-13T06:00:00Z;0;14;152;22.39;38.82;747
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-13T07:00:00Z;1;58;3672;23.78;45.06;711
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-13T08:00:00Z;0;6;453;23.73;46.05;735
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-13T09:00:00Z;0.5;29;1903;24.13;47.53;745
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-13T10:00:00Z;0.5;40;1697;23.73;45.69;707
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-13T11:00:00Z;1;56;2570;24.96;51.07;783
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-13T12:00:00Z;0.5;28;1418;24.94;51.18;773
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-13T13:00:00Z;0;11;190;24.11;47.86;799
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-13T14:00:00Z;0.5;33;1094;23.65;45.32;974
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-14T06:00:00Z;0;15;267;22.38;38.93;738
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-14T07:00:00Z;1;54;3982;23.7;44.77;811
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-14T08:00:00Z;1;50;2520;24.75;50.38;705
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-14T09:00:00Z;1;53;2518;25.58;54.62;804
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-14T10:00:00Z;0.5;29;1813;25.01;51.71;850
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-14T11:00:00Z;0;11;456;24.13;47.67;782
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-14T12:00:00Z;0.5;33;1097;23.62;45.19;804
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-14T13:00:00Z;0;13;937;23.28;43.65;922
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-14T14:00:00Z;0.5;36;1804;23.89;46.27;1018
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-15T06:00:00Z;0.5;20;1340;22.61;39.3;629
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-15T07:00:00Z;0.5;38;1507;23.37;43.66;847
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-15T08:00:00Z;1;57;2935;24.66;50.1;759
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-15T09:00:00Z;0.5;39;1325;25.18;52.25;802
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-15T10:00:00Z;0;1;89;24.29;48;934
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-15T11:00:00Z;0;9;240;23.25;42.72;836
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-15T12:00:00Z;0;2;899;22.32;38.35;873
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-15T13:00:00Z;0.5;37;1204;23.19;42.45;973
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-15T14:00:00Z;1;56;2601;24.13;47.84;971
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-16T06:00:00Z;0;9;214;22.33;38.4;790
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-16T07:00:00Z;1;50;3655;23.47;43.88;746
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-16T08:00:00Z;0.5;27;1141;24.05;46.94;795
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-16T09:00:00Z;1;54;2211;25.02;51.74;842
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-16T10:00:00Z;0.5;22;1756;24.45;48.48;809
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-16T11:00:00Z;0;12;698;24.04;47.04;913
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-16T12:00:00Z;1;57;2392;24.08;47.11;954
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-16T13:00:00Z;1;55;3836;24.78;51.14;993
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-16T14:00:00Z;0.5;25;1336;25.15;52.5;1058
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-19T06:00:00Z;0;0;832;22.14;37.1;652
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-19T07:00:00Z;0.5;24;1487;22.6;39.81;684
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-19T08:00:00Z;1;59;2996;23.95;46.58;788
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-19T09:00:00Z;1;57;2853;25.18;52.76;860
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-19T10:00:00Z;1;58;2509;25.93;56.43;932
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-19T11:00:00Z;0.5;28;1453;25.37;53.15;1003
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-19T12:00:00Z;1;52;3636;25.11;52.39;1061
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-19T13:00:00Z;1;50;3459;25.07;51.56;1180
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-19T14:00:00Z;1;54;2782;25.47;54.45;1346
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-20T06:00:00Z;1;59;2297;23.35;43.84;795
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-20T07:00:00Z;0;5;997;23.62;44.35;798
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-20T08:00:00Z;1;55;2922;24.69;50.22;993
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-20T09:00:00Z;0;15;461;23.86;45.45;988
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-20T10:00:00Z;0.5;32;1728;24.43;48.43;917
31f2c197-b3a5-4f0b-bb1f-a736da7aae8d;2018-11-20T11:00:00Z;1;54;3081;24.29;48.22;1041
